Believed outage rate (x truth),Regret %
2.0,1.5384061164248268
1.5,0.42790662083456804
1.25,0.11115806733152542
1.0,0.0
0.75,0.23519757119272197
0.5,1.5351771490041533
0.35,2.1036082743068105
0.25,2.6576611513928636
0.1,6.655333519430944
0.0,21.390414305950898
