algorithm,n,seed,nodes_expanded,backtracks,constraint_checks,repair_steps,runtime_seconds,objective,num_assigned,num_unassigned,failure_rate,success,hit_step_budget
bt_fc_mrv_deg,30,42,30,0,30,0,0.011573669999052072,317.5958882934325,30,0,0.0,True,False
bt_fc_mrv_deg,40,7,40,0,40,0,0.01891824399899633,979.9355065158952,40,0,0.0,True,False
bt_fc_mrv_deg,40,13,21506,21470,21506,0,1.500157192000188,1240.7315954871533,36,4,0.1,False,False
bt_fc_mrv_deg,40,42,40,0,40,0,0.01580574099898513,1000.2611987833914,40,0,0.0,True,False
bt_fc_mrv_deg,50,7,16078,16032,16078,0,1.5003218709989596,1724.0379112912046,47,3,0.06,False,False
bt_fc_mrv_deg,50,13,15204,15162,15204,0,1.500241948000621,2443.776504672386,42,8,0.16,False,False
bt_fc_mrv_deg,50,42,50,0,50,0,0.020496487000855268,1299.4523151797364,50,0,0.0,True,False
min_conflicts,10,7,0,0,1,1,8.77050006238278e-05,158.24895088969652,10,0,0.0,True,False
min_conflicts,10,13,0,0,1,1,8.734500079299323e-05,322.48591930953495,10,0,0.0,True,False
min_conflicts,10,42,0,0,1,1,7.475100028386805e-05,179.79157881987834,10,0,0.0,True,False
min_conflicts,20,7,5,0,6,6,0.0016744439999456517,359.6435640690577,20,0,0.0,True,False
min_conflicts,20,13,1,0,2,2,0.0005044999998062849,657.9903022175715,20,0,0.0,True,False
min_conflicts,20,42,2,0,3,3,0.0008007680007722229,461.641165715236,20,0,0.0,True,False
min_conflicts,30,7,10,0,11,11,0.005732057001296198,716.8767434592467,30,0,0.0,True,False
min_conflicts,30,13,7,0,8,8,0.004169002000708133,1319.388032460271,26,4,0.13333333333333333,False,False
min_conflicts,30,42,3,0,4,4,0.0017051619997801026,833.0898444813247,30,0,0.0,True,False
min_conflicts,40,7,1623,0,1624,1624,1.1099591980000696,934.8853966437505,40,0,0.0,True,False
min_conflicts,40,13,11,0,12,12,0.010165047000555205,1464.6927286050168,36,4,0.1,False,False
min_conflicts,40,42,827,0,828,828,0.6387220689994138,869.2071237426757,40,0,0.0,True,False
min_conflicts,50,7,1541,0,1541,1541,1.5001138939987868,1691.943100748339,46,4,0.08,False,False
min_conflicts,50,13,1368,0,1368,1368,1.5006164389997139,2331.740883566108,43,7,0.14,False,False
min_conflicts,50,42,1425,0,1425,1425,1.501004447000014,1421.856757775825,49,1,0.02,False,False
