algorithm,n,runtime_s_mean,runtime_s_std,nodes_mean,backtracks_mean,constraint_checks_mean,objective_mean,objective_std,failure_rate_mean,success_rate
basic_backtracking,10,0.00020334666684599748,3.231020915289792e-05,20.666666666666668,10.666666666666666,20.666666666666668,108.83563699450595,29.776053324374644,0.0,1.0
basic_backtracking,20,0.0005846280000696424,8.341771442464046e-05,78.66666666666667,58.666666666666664,78.66666666666667,318.3119493337533,74.03909473944236,0.0,1.0
basic_backtracking,30,0.5012862976667142,0.8649569103023577,22431.0,22402.333333333332,22431.0,845.9754353609542,283.6304144793503,0.044444444444444446,0.6666666666666666
basic_backtracking,40,1.5000213906666129,1.9050631295901458e-06,180627.0,180592.66666666666,180627.0,1625.345642199206,225.55962294263395,0.11666666666666665,0.0
basic_backtracking,50,1.5000867119997565,6.050326229024645e-05,172007.66666666666,171973.0,172007.66666666666,3542.0123088658725,398.89008937946625,0.29333333333333333,0.0
bt_fc_mrv_deg,10,0.002783904000655942,0.0012224579276210003,10.0,0.0,10.0,76.6440154518071,25.93934898147757,0.0,1.0
bt_fc_mrv_deg,20,0.008172934334046053,0.0024559291142564788,20.0,0.0,20.0,246.8251326873019,92.01982094531678,0.0,1.0
bt_fc_mrv_deg,30,0.5078064599989981,0.8593888959102383,9424.333333333334,9395.666666666666,9424.333333333334,644.4412302095246,410.89838657787794,0.044444444444444446,0.6666666666666666
bt_fc_mrv_deg,40,0.5116270589993898,0.8560936221037176,7195.333333333333,7156.666666666667,7195.333333333333,1073.6427669288132,145.05961158533063,0.03333333333333333,0.6666666666666666
bt_fc_mrv_deg,50,1.0070201020001452,0.854354512957222,10444.0,10398.0,10444.0,1822.4222437144424,578.4713219462802,0.07333333333333333,0.3333333333333333
bt_lcv,10,0.0028568076668307185,0.001228413333320559,11.0,1.0,11.0,154.00939484250853,78.59982411290552,0.0,1.0
bt_lcv,20,0.010581751333423503,0.002972186951436947,32.666666666666664,12.666666666666666,32.666666666666664,414.8405395490563,54.75421834082294,0.0,1.0
bt_lcv,30,1.0051080153334624,0.8572881603776391,25650.666666666668,25628.0,25650.666666666668,1654.0902670679336,1153.3184859301355,0.2333333333333333,0.3333333333333333
bt_lcv,40,0.5183880293334369,0.8501371734654343,10192.0,10153.333333333334,10192.0,1191.3334508538871,416.4878318639961,0.03333333333333333,0.6666666666666666
bt_lcv,50,1.0148499413329166,0.8423355868358128,14578.0,14550.333333333334,14578.0,4188.863452742443,2810.9547146406576,0.43333333333333335,0.3333333333333333
bt_mrv,10,0.00026110533326573204,3.212988062045535e-05,24.333333333333332,14.333333333333334,24.333333333333332,116.81785523121056,24.92396379139134,0.0,1.0
bt_mrv,20,0.0009347509997799838,0.00018465786647628486,98.0,78.0,98.0,332.0917000722129,92.92739656829691,0.0,1.0
bt_mrv,30,0.5011696540004777,0.865031763451089,17310.666666666668,17282.333333333332,17310.666666666668,831.4316054587922,415.07933799876116,0.044444444444444446,0.6666666666666666
bt_mrv,40,0.5019136783327364,0.8643993267807584,16001.666666666666,15963.0,16001.666666666666,999.5980380771667,363.8753010236111,0.03333333333333333,0.6666666666666666
bt_mrv,50,0.5024607106667341,0.8640228632843316,63989.333333333336,63960.666666666664,63989.333333333336,4439.513847614404,4009.816632130482,0.39999999999999997,0.3333333333333333
min_conflicts,10,8.326700056689636e-05,7.377268843207077e-06,0.0,0.0,1.0,220.17548300636994,89.25575744422626,0.0,1.0
min_conflicts,20,0.000993237333508053,0.0006082561745665698,2.6666666666666665,0.0,3.6666666666666665,493.09167733395503,151.63952338283664,0.0,1.0
min_conflicts,30,0.0038687403339281445,0.0020301696086071114,6.666666666666667,0.0,7.666666666666667,956.4515401336142,319.63814589168646,0.044444444444444446,0.6666666666666666
min_conflicts,40,0.5862821046666795,0.5517692054089277,820.3333333333334,0.0,821.3333333333334,1089.5950829971478,326.4997575623019,0.03333333333333333,0.6666666666666666
min_conflicts,50,1.5005782599995048,0.0004465023953366741,1444.6666666666667,0.0,1444.6666666666667,1815.180247363424,467.2930839640771,0.08,0.0
