pair_id,source,destination,euclid_m,algorithm,heuristic,gender,social,age,vehicle,time_bucket,weather,success,nodes_expanded,nodes_generated,revisits,max_frontier_size,path_length_edges,path_length_meters,path_cost,depth,effective_branching_factor,predicted_cost_at_start,predicted_vs_actual_gap,runtime_seconds
0,373381439,10680276791,5232.0203350494485,bfs,n/a,male,alone,adult,car,midday,clear,True,13431,13992,18821,567,79,7660.325008852101,73155.19211982528,79,1.0932700882948287,0.0,0.0,0.021040801002527587
0,373381439,10680276791,5232.0203350494485,dfs,n/a,male,alone,adult,car,midday,clear,True,12754,13752,15984,1026,1478,117384.78852485257,1032189.0040120956,1478,1.0558395383032257,0.0,0.0,0.02336968499730574
0,373381439,10680276791,5232.0203350494485,ucs,n/a,male,alone,adult,car,midday,clear,True,8301,9414,890,236,89,6050.43998171278,55241.490083004064,89,1.0739568745198038,0.0,0.0,0.05588248999993084
0,373381439,10680276791,5232.0203350494485,greedy,zero,male,alone,adult,car,midday,clear,True,13431,13992,18821,567,79,7660.325008852101,73155.19211982528,79,1.0932700882948287,0.0,73155.19211982528,0.026936451002256945
0,373381439,10680276791,5232.0203350494485,greedy,haversine_admissible,male,alone,adult,car,midday,clear,True,96,176,57,81,84,7096.257952536014,66380.57030959288,84,1.0028438156491026,5140.729245112625,61239.84106448025,0.0007587110012536868
0,373381439,10680276791,5232.0203350494485,greedy,network_relaxed,male,alone,adult,car,midday,clear,True,88,173,47,86,87,6102.037162648603,55667.06304954792,87,1.0000002862417139,5944.868667926467,49722.194381621455,0.0005796909972559661
0,373381439,10680276791,5232.0203350494485,greedy,haversine_time,male,alone,adult,car,midday,clear,True,96,176,57,81,84,7096.257952536014,66380.57030959288,84,1.0028438156491026,1345.376657584144,65035.19365200873,0.0006975350042921491
0,373381439,10680276791,5232.0203350494485,greedy,context_aware,male,alone,adult,car,midday,clear,True,96,176,57,81,84,7096.257952536014,66380.57030959288,84,1.0028438156491026,5551.987584721635,60828.582724871245,0.0006110710019129328
0,373381439,10680276791,5232.0203350494485,greedy,learned_history,male,alone,adult,car,midday,clear,True,99,177,61,79,84,7095.14436907947,66351.35722863933,84,1.0035467149670618,7190.823007085084,59160.53422155425,0.000951407004322391
0,373381439,10680276791,5232.0203350494485,astar,zero,male,alone,adult,car,midday,clear,True,8301,9414,890,236,89,6050.43998171278,55241.490083004064,89,1.0739568745198038,0.0,55241.490083004064,0.05836483499297174
0,373381439,10680276791,5232.0203350494485,astar,haversine_admissible,male,alone,adult,car,midday,clear,True,6857,7804,748,224,89,6050.43998171278,55241.490083004064,89,1.0712378927877388,5140.729245112625,50100.76083789144,0.0692163999992772
0,373381439,10680276791,5232.0203350494485,astar,network_relaxed,male,alone,adult,car,midday,clear,True,6595,7525,713,233,89,6050.43998171278,55241.490083004064,89,1.0706823018881886,5944.868667926467,49296.6214150776,0.05122334800398676
0,373381439,10680276791,5232.0203350494485,astar,haversine_time,male,alone,adult,car,midday,clear,True,7903,8983,850,241,89,6050.43998171278,55241.490083004064,89,1.0732588011551056,1345.376657584144,53896.11342541992,0.07806769399758196
0,373381439,10680276791,5232.0203350494485,astar,context_aware,male,alone,adult,car,midday,clear,True,6755,7680,739,226,89,6050.43998171278,55241.490083004064,89,1.071024214243068,5551.987584721635,49689.502498282425,0.06694260999938706
0,373381439,10680276791,5232.0203350494485,astar,learned_history,male,alone,adult,car,midday,clear,True,6356,7260,711,221,89,6050.43998171278,55241.490083004064,89,1.0701554530902666,7190.823007085084,48050.66707591898,0.07189336499868659
0,373381439,10680276791,5232.0203350494485,weighted_astar,zero,male,alone,adult,car,midday,clear,True,8301,9414,890,236,89,6050.43998171278,55241.490083004064,89,1.0739568745198038,0.0,55241.490083004064,0.05523600200103829
0,373381439,10680276791,5232.0203350494485,weighted_astar,haversine_admissible,male,alone,adult,car,midday,clear,True,5832,6713,672,213,89,6050.43998171278,55241.490083004064,89,1.0689257353923607,5140.729245112625,50100.76083789144,0.056948313998873346
0,373381439,10680276791,5232.0203350494485,weighted_astar,network_relaxed,male,alone,adult,car,midday,clear,True,5453,6288,626,219,89,6050.43998171278,55241.490083004064,89,1.0679636528274936,5944.868667926467,49296.6214150776,0.04047376700327732
0,373381439,10680276791,5232.0203350494485,weighted_astar,haversine_time,male,alone,adult,car,midday,clear,True,7619,8664,818,233,89,6050.43998171278,55241.490083004064,89,1.0727384077501496,1345.376657584144,53896.11342541992,0.07616362800035859
0,373381439,10680276791,5232.0203350494485,weighted_astar,context_aware,male,alone,adult,car,midday,clear,True,5693,6555,656,213,89,6050.43998171278,55241.490083004064,89,1.0685805246947215,5551.987584721635,49689.502498282425,0.056438294996041805
0,373381439,10680276791,5232.0203350494485,weighted_astar,learned_history,male,alone,adult,car,midday,clear,True,5235,6051,626,199,89,6050.43998171278,55241.490083004064,89,1.067378731316441,7190.823007085084,48050.66707591898,0.0590264019992901
